q2_m1_g1,q3_m1_g1,q4_m1_g1,q2_m1_g2,q3_m1_g2,q4_m1_g2,q2_m2_g1,q3_m2_g1,q4_m2_g1,q2_m2_g2,q3_m2_g2,q4_m2_g2,q2_m3_g1,q3_m3_g1,q4_m3_g1,q2_m3_g2,q3_m3_g2,q4_m3_g2
5,4.5,4.5,5,4.555555556,3.888888889,5,5,4.5,5,5,4,5,4.9,4.3,5,4.8,5
5,4.666666667,4.933333333,5,4.8,5,4.857142857,4.285714286,4.857142857,5,4.428571429,5,5,5,5,5,5,5
4.428571429,4.476190476,3.80952381,4.2,4.4,4.2,4.8,4.6,4.6,4.166666667,4.333333333,4.166666667,5,4.75,4.5,4.714285714,4.857142857,4.428571429
4.631578947,4.631578947,4.842105263,4.6,4.4,4.6,5,5,5,4.5,4,4.833333333,5,5,4.142857143,5,4.857142857,4.857142857
4.444444444,4.833333333,3.555555556,4.833333333,4.166666667,3.166666667,4.857142857,5,4.857142857,5,5,4.285714286,5,4.8,3.6,4.8,4.8,3.4
4.736842105,4.736842105,4.736842105,4.333333333,3,3.833333333,4.166666667,3.5,3.666666667,4,3.714285714,4.5,5,5,5,5,5,5
5,4.739130435,4.956521739,4.5,4,5,4.6,3.6,5,4.4,4.2,5,4.5,4,4,5,5,5
5,4.777777778,4.888888889,4.9,4.1,4.5,5,4.166666667,5,5,4.333333333,5,5,5,5,5,5,5
4.705882353,4.588235294,4.411764706,5,3,4.333333333,4.5,4.666666667,4.333333333,4.857142857,4.285714286,4.428571429,4.571428571,4.857142857,4.142857143,5,5,4.25
5,4.833333333,4.833333333,5,4.6,4.8,4.833333333,5,4.666666667,5,4.625,4.5,4.833333333,4.666666667,4.666666667,5,4.6,4
