,e_mse,e_h,e_v,e_comb
0,0.11406731207188185,1.941274701503824,2.4522524974227102,3.126161704881871
1,0.07921560758783418,1.3748005783293509,1.5345205541038447,2.059859820026555
2,0.06623844650469507,1.1852548806948435,1.2946601985203483,1.754997965260337
3,0.06193015656781983,1.1140964015853143,1.2152586927503586,1.6484295591982372
4,0.0662724646780186,1.2592409972110603,1.2231038283148372,1.7551944250654954
5,0.09073260359636415,1.6575938025846109,1.7240934586901437,2.3909827999344584
6,0.06929792472523212,1.2683773923744206,1.2736192404155113,1.7971720436003764
7,0.07008385445179782,1.2366799718744594,1.2823039985875382,1.7811961129807197
8,0.06818125006551773,1.2206800593468938,1.326167106302368,1.8021417018221326
9,0.07406868826937454,1.40688639544461,1.3422575422773297,1.9441029794383882
