,,,L,L,L,C,C,C,R,R,R,
mse,,0,0.088 ,0.113 ,0.101 ,0.096 ,0.079 ,0.112 ,0.172 ,0.103 ,0.141 ,0.112 
,,1,0.076 ,0.080 ,0.072 ,0.073 ,0.075 ,0.116 ,0.095 ,0.090 ,0.118 ,0.088 
,,2,0.060 ,0.070 ,0.067 ,0.071 ,0.058 ,0.094 ,0.084 ,0.065 ,0.093 ,0.074 
,,3,0.057 ,0.055 ,0.071 ,0.060 ,0.057 ,0.087 ,0.082 ,0.060 ,0.086 ,0.068 
,,4,0.046 ,0.053 ,0.074 ,0.054 ,0.059 ,0.081 ,0.070 ,0.062 ,0.083 ,0.065 
,,5,0.054 ,0.049 ,0.066 ,0.048 ,0.058 ,0.077 ,0.061 ,0.060 ,0.077 ,0.061 
,,6,0.048 ,0.052 ,0.060 ,0.047 ,0.051 ,0.066 ,0.058 ,0.052 ,0.066 ,0.056 
,,7,0.049 ,0.053 ,0.054 ,0.050 ,0.048 ,0.064 ,0.060 ,0.051 ,0.066 ,0.055 
,,8,0.053 ,0.056 ,0.055 ,0.053 ,0.051 ,0.066 ,0.063 ,0.055 ,0.065 ,0.058 
,,9,0.057 ,0.061 ,0.053 ,0.065 ,0.049 ,0.071 ,0.060 ,0.058 ,0.064 ,0.060 
angles,,0,2.28 ,3.58 ,2.62 ,2.37 ,1.90 ,2.91 ,4.83 ,2.71 ,4.48 ,3.075 
,,1,2.18 ,2.34 ,1.77 ,1.91 ,1.69 ,2.83 ,2.71 ,2.20 ,3.20 ,2.313 
,,2,1.74 ,2.10 ,1.65 ,1.86 ,1.40 ,2.37 ,2.37 ,1.63 ,2.36 ,1.942 
,,3,1.48 ,1.51 ,1.71 ,1.71 ,1.41 ,2.20 ,2.11 ,1.51 ,2.10 ,1.748 
,,4,1.39 ,1.41 ,1.87 ,1.59 ,1.46 ,2.13 ,1.75 ,1.62 ,2.10 ,1.702 
,,5,1.53 ,1.37 ,1.68 ,1.26 ,1.40 ,2.00 ,1.56 ,1.46 ,1.91 ,1.575 
,,6,1.39 ,1.42 ,1.53 ,1.25 ,1.24 ,1.82 ,1.66 ,1.31 ,1.74 ,1.484 
,,7,1.54 ,1.44 ,1.42 ,1.32 ,1.25 ,1.83 ,1.77 ,1.26 ,1.80 ,1.514 
,,8,1.69 ,1.55 ,1.41 ,1.41 ,1.25 ,1.88 ,1.75 ,1.38 ,1.92 ,1.582 
,,9,1.86 ,1.61 ,1.34 ,1.66 ,1.22 ,1.95 ,1.59 ,1.63 ,1.96 ,1.645 
